[11/12/2024, 10:31:44 AM] UserID: 1, IP: ::1, URL: http://localhost:3000/hr/user/create, Action: Created user: 1212assaasas12
[11/12/2024, 10:38:37 AM] UserID: 1, IP: ::1, URL: http://localhost:3000/hr/user/create, Action: Created user: 1212assaasdsdas12
[11/12/2024, 10:42:04 AM] UserID: 1, IP: ::1, URL: http://localhost:3000/hr/user/create, Action: Created user: 1212assaasdsdaasas12
[11/12/2024, 10:43:27 AM] UserID: 1, IP: ::1, URL: http://localhost:3000/hr/user/create, Action: Created user: 1212assasasasaasdsdaasas12
[11/12/2024, 10:53:38 AM] UserID: 1, IP: ::1, URL: http://localhost:3000/hr/user/create, Action: Created user: 333424234
[11/12/2024, 10:55:21 AM] UserID: 1, IP: ::1, URL: http://localhost:3000/hr/user/create, Action: Created user: 333424234dssd
[11/12/2024, 11:04:59 AM] UserID: 1, IP: ::1, URL: http://localhost:3000/hr/user/create, Action: Created user: dssfdsf
[11/12/2024, 11:05:22 AM] UserID: 1, IP: ::1, URL: http://localhost:3000/hr/user/create, Action: Created user: dssfdsfห
[11/12/2024, 11:23:27 AM] UserID: 1, IP: ::1, URL: http://localhost:3000/hr/user/create, Action: Created user: Test000001
[11/12/2024, 1:16:14 PM] UserID: 1, IP: ::1, URL: http://localhost:3000/hr/user/create, Action: Created user: Test000002
[11/12/2024, 1:50:20 PM] UserID: 1, IP: ::1, URL: http://localhost:3000/hr/user/create, Action: Created user: Test000003
[11/12/2024, 4:35:52 PM] UserID: 1, IP: ::1, URL: http://localhost:3000/hr/branch/1, Action: PUT branch 1
[11/12/2024, 4:57:48 PM] UserID: 1, IP: ::1, URL: http://localhost:3000/hr/branch/1, Action: PUT branch 1
[11/13/2024, 8:49:31 AM] UserID: 1, IP: ::1, URL: http://localhost:3000/hr/branch/1, Action: PUT branch 1
[11/13/2024, 8:49:38 AM] UserID: 1, IP: ::1, URL: http://localhost:3000/hr/branch/1, Action: PUT branch 1
[11/13/2024, 8:49:44 AM] UserID: 1, IP: ::1, URL: http://localhost:3000/hr/branch/1, Action: PUT branch 1
[11/13/2024, 9:07:21 AM] UserID: 1, IP: ::1, URL: http://localhost:3000/hr/branch/1, Action: PUT branch 1
[11/13/2024, 9:08:56 AM] UserID: 1, IP: ::1, URL: http://localhost:3000/hr/branch/1, Action: PUT branch 1
[11/13/2024, 10:04:55 AM] UserID: 1, IP: ::1, URL: http://localhost:3000/hr/branch/1, Action: PUT branch 1
[11/13/2024, 10:05:56 AM] UserID: 1, IP: ::1, URL: http://localhost:3000/hr/branch/1, Action: PUT branch 1
[11/13/2024, 2:16:44 PM] UserID: 1, IP: ::1, URL: http://localhost:3000/hr/user/22, Action: PUT user 22
[11/13/2024, 2:18:24 PM] UserID: 1, IP: ::1, URL: http://localhost:3000/hr/user/22, Action: PUT user 22
[11/13/2024, 2:20:13 PM] UserID: 1, IP: ::1, URL: http://localhost:3000/hr/user/22, Action: PUT user 22
[11/13/2024, 2:21:15 PM] UserID: 1, IP: ::1, URL: http://localhost:3000/hr/user/22, Action: PUT user 22
[11/13/2024, 2:28:01 PM] UserID: 1, IP: ::1, URL: http://localhost:3000/hr/user/22, Action: PUT user 22
[11/13/2024, 2:28:38 PM] UserID: 1, IP: ::1, URL: http://localhost:3000/hr/user/22, Action: PUT user 22
[11/13/2024, 2:29:41 PM] UserID: 1, IP: ::1, URL: http://localhost:3000/hr/user/22, Action: PUT user 22
[11/13/2024, 2:30:52 PM] UserID: 1, IP: ::1, URL: http://localhost:3000/hr/user/22, Action: PUT user 22
[11/13/2024, 2:37:15 PM] UserID: 1, IP: ::1, URL: http://localhost:3000/hr/user/22, Action: PUT user 22
[11/13/2024, 2:40:34 PM] UserID: 1, IP: ::1, URL: http://localhost:3000/hr/user, Action: PUT user 22
[11/13/2024, 2:40:59 PM] UserID: 1, IP: ::1, URL: http://localhost:3000/hr/user, Action: PUT user 22
